query_id,query_planning_time,plan_total_cost,plan_startup_cost,plan_rows,plan_width,output_rows,max_depth,num_operators,has_sort,has_hash,is_parallel_aware,max_workers_planned,max_workers_launched,node_type_Seq Scan_count,node_type_Hash Join_count,node_type_Merge Join_count,node_type_Nested Loop_count,node_type_Aggregate_count,node_type_Sort_count,node_type_Limit_count,node_type_Materialize_count,node_type_Gather_count,node_type_Gather Merge_count,node_type_OTHER_count,total_estimated_rows,total_estimated_bytes,total_actual_rows,total_actual_loops,total_actual_time_node,rows_estimate_error,rows_estimate_ratio,output_row_estimation_error,output_row_estimation_ratio,cost_time_ratio,sum_node_actual_time_vs_total_actual_time_ratio,query_length_chars,has_group_by,has_order_by,has_limit,num_aggregate_functions,num_joins,num_tables_referenced,num_where_conditions,actual_execution_time
2842,0.05,134.76,134.63,12,112,0,5,7,1,1,0,0,0,2,1,0,0,1,1,1,0,0,0,1,428.0,44600.0,0.0,5.0,0.033,-428.0,0.0,-12,0.0,0.00015583259127337491,1.5714285714285714,332,1,1,1,1,1,2,1,0.021
2843,0.021,140.11,139.95,63,212,25,4,6,1,1,0,0,0,2,1,0,0,0,1,1,0,0,0,1,913.0,140516.0,110.0,6.0,0.07,-803.0,0.12048192771084337,-38,0.3968253968253968,0.00022839197773178216,2.1875,213,0,1,1,0,1,2,0,0.032
2844,0.112,30219.1,30182.35,39,242,39,8,13,1,1,1,2,2,4,2,0,1,0,1,1,1,0,1,2,9181918.0,2195681976.0,102659.0,29.0,281.46999999999997,-9079259.0,0.011180561621221188,0,1.0,0.0014476605855237251,6.4340411913959805,407,0,1,1,0,3,4,0,43.747
2845,0.101,45710.84,26606.86,23,314,0,10,15,1,1,1,2,2,4,2,0,1,1,1,1,1,0,1,3,3596536.0,171654302.0,1.0,23.0,22.865000000000002,-3596535.0,2.7804531916266097e-07,-23,0.0,0.00012714708371143476,3.9341018582243636,707,1,1,1,4,3,4,2,5.812
2846,0.038,86195.16,29780.31,68,25,68,4,7,1,0,1,2,2,2,0,0,1,0,1,1,1,0,1,0,4775068.0,62926700.0,2985958.0,16.0,2917.0499999999997,-1789110.0,0.6253226132067649,0,1.0,0.01185851966630145,2.8538458753975697,233,0,1,1,0,1,2,0,1022.147
2847,0.069,26801.54,26799.21,20,134,20,5,7,1,1,1,2,2,2,1,0,0,0,1,1,0,0,1,1,312860.0,35664400.0,100106.0,17.0,165.13899999999998,-212754.0,0.319970593875855,0,1.0,0.0010215457768471513,6.03159355710581,223,0,1,1,0,1,2,0,27.379
2848,0.107,259235.2,236005.27,28,93,28,6,13,1,1,1,2,2,4,2,0,1,0,1,1,1,0,1,2,33680158.0,1525703974.0,25505345.0,18.0,29795.484999999997,-8174813.0,0.7572810376958445,0,1.0,0.030035712742713952,3.8266482702855287,433,0,1,1,0,3,4,0,7786.314
2849,0.112,25792.15,25792.13,1,144,0,5,8,1,0,0,0,0,3,0,0,2,1,1,1,0,0,0,0,177.0,19114.0,0.0,6.0,3.5769999999999995,-177.0,0.0,-1,0.0,2.3805692817388234e-05,5.825732899022801,512,1,1,1,1,2,3,1,0.614
2850,0.127,640038.44,399477.72,29,76,29,8,15,1,1,1,2,2,4,2,0,1,1,1,1,1,0,1,3,39906185.0,1590256652.0,19462677.0,34.0,44071.233,-20443508.0,0.4877107896933771,0,1.0,0.012898428413143436,5.338415163727411,580,1,1,1,2,3,4,0,8255.49
2851,0.112,24516.85,24443.72,56,124,0,5,12,1,1,0,0,0,4,1,1,1,0,2,1,1,0,0,1,5303508.0,118815644.0,0.0,5.0,0.045,-5303508.0,0.0,-56,0.0,1.0197068546734185e-06,1.7999999999999998,456,0,1,1,0,3,4,0,0.025
